样本编号,年级,专业类别,月可支配生活费,半年短途出行次数,目的地类型,同行人,单次出行预算,预算占比最大项,提前规划时间,信息获取渠道,遇到的困扰(多选),最严重的困扰,是否用过行程规划工具,对工具不满意的地方,最希望的功能(多选),最愿意付费的功能,倾向的使用形式,偏好的内容风格,其他未满足需求,是否愿意参与访谈(留微信),答题时长(秒),提交时间
S129,大一,文史哲类,1501-2000元,3-4次,城市人文,独自一人,601-800元,交通,说走就走,小红书、抖音,攻略质量参差不齐，广告多、攻略信息太分散，多APP切换,缺少学生视角的预算参考,听说过但没用过,,出行搭子匹配、交通接驳指南、小众目的地种草、当地美食红黑榜,无广告纯净体验,微信小程序,图文精美,希望能看到实时的景区人流量,愿意-wx_1cqg433e,276,2026-09-04 15:49:28
S130,大二,其他,1000-1500元,5-6次,主题乐园,家人,201-400元,餐饮,提前1-2天,小红书、朋友推荐,攻略质量参差不齐，广告多、交通接驳信息不清晰,攻略质量参差不齐，广告多,完全没听说过,,旅行记账与AA分摊、现成学生党行程模板、小众目的地种草,无广告纯净体验,小红书/抖音账号+社群,简洁高效(直接给结论),能不能有毕业旅行的专题,,82,2026-09-01 18:50:44
S131,大三,艺术类,1501-2000元,1-2次,主题乐园,男/女朋友,401-600元,购物/伴手礼,提前1-2周,小红书,小众目的地信息太少、攻略信息太分散，多APP切换,攻略质量参差不齐，广告多,完全没听说过,,出行搭子匹配、小众目的地种草、现成学生党行程模板、当地美食红黑榜,AI高级行程定制,微信小程序,有趣好玩有梗,希望能有夜生活安全的提示,,223,2026-09-05 17:44:31
S132,大二,经管类,1501-2000元,5-6次,网红打卡点、美食探店,男/女朋友,201-400元,餐饮,提前3-7天,大众点评、抖音,小众目的地信息太少、美食探店容易踩雷、交通接驳信息不清晰、缺少学生视角的预算参考,攻略质量参差不齐，广告多,经常使用,不能协同编辑、操作太复杂、交通时间不准,当地美食红黑榜、现成学生党行程模板,独家小众目的地攻略,独立APP,真实接地气(学长学姐经验),高铁票抢票攻略也想要,,88,2026-09-04 10:31:12
S133,大一,艺术类,2501-3000元,5-6次,美食探店、城市人文,室友/同学(2-3人),801-1000元,交通,提前2周以上,抖音、B站、小红书,缺少学生视角的预算参考、小众目的地信息太少,住宿选择困难,听说过但没用过,,出行搭子匹配、现成学生党行程模板,无广告纯净体验,微信小程序,真实接地气(学长学姐经验),当地特色节日活动的信息想要,,104,2026-09-02 20:14:34
S134,大二,经管类,2001-2500元,3-4次,主题乐园,朋友小团体(4人以上),601-800元,门票/体验项目,提前3-7天,抖音、OTA平台(携程/马蜂窝)、B站,小众目的地信息太少、没有现成行程模板,没有现成行程模板,听说过但没用过,,实时避坑提醒、交通接驳指南、其他、行程共享与协同编辑,都不愿意付费,小红书/抖音账号+社群,有趣好玩有梗,希望能有旅行vlog的模板,,224,2026-09-09 12:24:49
S135,大三,医学类,1501-2000元,3-4次,城市人文,室友/同学(2-3人),200元以下,交通,提前1-2周,抖音,攻略质量参差不齐，广告多、缺少学生视角的预算参考、小众目的地信息太少,美食探店容易踩雷,完全没听说过,,按预算推荐目的地和行程、小众目的地种草,AI高级行程定制,都可以,真实接地气(学长学姐经验),行李寄存的点能不能标注出来,,103,2026-09-10 15:36:58
S136,大二,经管类,1501-2000元,3-4次,网红打卡点、美食探店,朋友小团体(4人以上),1000元以上,餐饮,提前1-2天,朋友推荐、抖音,缺少学生视角的预算参考、住宿选择困难、美食探店容易踩雷,住宿选择困难,偶尔使用,推荐太商业化、交通时间不准,按预算推荐目的地和行程、交通接驳指南、现成学生党行程模板,都不愿意付费,微信小程序,图文精美,能不能有毕业旅行的专题,,272,2026-09-10 18:32:05
S137,大二,理工类,1501-2000元,1-2次,主题乐园,朋友小团体(4人以上),601-800元,交通,提前1-2天,朋友推荐、小红书,没有现成行程模板、攻略质量参差不齐，广告多、缺少学生视角的预算参考,没有现成行程模板,听说过但没用过,,现成学生党行程模板、小众目的地种草,都不愿意付费,独立APP,真实接地气(学长学姐经验),音乐节+旅行的组合攻略想要,,169,2026-09-04 14:22:38
S138,大三,教育类,1000-1500元,1-2次,美食探店、自然风景,家人,201-400元,餐饮,提前1-2天,微博、小红书,美食探店容易踩雷、住宿选择困难、攻略信息太分散，多APP切换,没有现成行程模板,偶尔使用,不能按预算调整、行程模板太少,按预算推荐目的地和行程、小众目的地种草、现成学生党行程模板,都不愿意付费,小红书/抖音账号+社群,真实接地气(学长学姐经验),,,311,2026-09-09 09:16:10
S139,大一,经管类,2001-2500元,1-2次,美食探店、城市人文,室友/同学(2-3人),401-600元,门票/体验项目,提前3-7天,小红书,攻略质量参差不齐，广告多、缺少学生视角的预算参考、一人出行难拼车/找搭子、攻略信息太分散，多APP切换,住宿选择困难,听说过但没用过,,现成学生党行程模板、旅行记账与AA分摊、交通接驳指南,都不愿意付费,微信小程序,专业严谨数据详实,景区学生票需要带什么证件能不能说明,,180,2026-09-03 09:22:43
S140,大二,艺术类,1000-1500元,7次及以上,自然风景、城市人文,室友/同学(2-3人),1000元以上,购物/伴手礼,提前2周以上,小红书、抖音,交通接驳信息不清晰、攻略信息太分散，多APP切换、缺少学生视角的预算参考、一人出行难拼车/找搭子,没有现成行程模板,偶尔使用,不能按预算调整,旅行记账与AA分摊、实时避坑提醒、现成学生党行程模板、交通接驳指南、按预算推荐目的地和行程,独家小众目的地攻略,独立APP,有趣好玩有梗,高铁票抢票攻略也想要,,260,2026-09-09 11:27:58
S141,研二及以上,经管类,3000元以上,7次及以上,城市人文、主题乐园,男/女朋友,401-600元,门票/体验项目,提前1-2天,朋友推荐,一人出行难拼车/找搭子、攻略质量参差不齐，广告多、小众目的地信息太少、住宿选择困难、交通接驳信息不清晰,交通接驳信息不清晰,经常使用,操作太复杂,按预算推荐目的地和行程、旅行记账与AA分摊、当地美食红黑榜,都不愿意付费,小红书/抖音账号+社群,简洁高效(直接给结论),希望能和同校的人组队出行,,171,2026-09-02 20:49:30
S142,大一,旅游/酒店管理类,1501-2000元,5-6次,网红打卡点,室友/同学(2-3人),201-400元,交通,说走就走,B站,攻略质量参差不齐，广告多、交通接驳信息不清晰,美食探店容易踩雷,偶尔使用,不能按预算调整、行程模板太少,小众目的地种草、住宿区域推荐、交通接驳指南,都不愿意付费,小红书/抖音账号+社群,简洁高效(直接给结论),,,195,2026-09-08 22:56:02
S143,研一,理工类,1501-2000元,7次及以上,主题乐园,朋友小团体(4人以上),601-800元,交通,提前3-7天,B站、朋友推荐,没有现成行程模板、缺少学生视角的预算参考、交通接驳信息不清晰、攻略信息太分散，多APP切换,缺少学生视角的预算参考,经常使用,不能按预算调整、不能协同编辑、操作太复杂,小众目的地种草、现成学生党行程模板、按预算推荐目的地和行程,都不愿意付费,都可以,有趣好玩有梗,当地菜市场能不能推荐，想吃地道的,愿意-wx_lxzf0dzw,101,2026-09-09 20:24:46
S144,大四,文史哲类,3000元以上,3-4次,城市人文,室友/同学(2-3人),1000元以上,门票/体验项目,提前1-2天,小红书,缺少学生视角的预算参考,交通接驳信息不清晰,听说过但没用过,,按预算推荐目的地和行程、现成学生党行程模板,都不愿意付费,微信小程序,简洁高效(直接给结论),希望能有夜生活安全的提示,,81,2026-09-10 16:15:13
S145,大三,文史哲类,1501-2000元,1-2次,城市人文、网红打卡点、自然风景,朋友小团体(4人以上),801-1000元,交通,提前1-2天,OTA平台(携程/马蜂窝),攻略信息太分散，多APP切换,没有现成行程模板,听说过但没用过,,实时避坑提醒、按预算推荐目的地和行程、小众目的地种草,都不愿意付费,小红书/抖音账号+社群,图文精美,能不能有旅行照片的模板推荐,,271,2026-09-10 14:59:02
S146,大一,理工类,1501-2000元,1-2次,周边乡村/古镇,男/女朋友,201-400元,住宿,提前1-2天,抖音,小众目的地信息太少、交通接驳信息不清晰、攻略信息太分散，多APP切换,交通接驳信息不清晰,听说过但没用过,,小众目的地种草、当地美食红黑榜,都不愿意付费,都可以,真实接地气(学长学姐经验),希望能有旅行vlog的模板,,227,2026-09-10 14:59:08
S147,大三,文史哲类,2001-2500元,3-4次,网红打卡点,室友/同学(2-3人),401-600元,交通,说走就走,OTA平台(携程/马蜂窝)、小红书,住宿选择困难、其他、缺少学生视角的预算参考,攻略质量参差不齐，广告多,听说过但没用过,,按预算推荐目的地和行程、现成学生党行程模板,都不愿意付费,微信小程序,简洁高效(直接给结论),希望能有旅行vlog的模板,,109,2026-09-06 14:25:46
S148,大三,其他,2501-3000元,1-2次,高校校园参观、主题乐园,朋友小团体(4人以上),201-400元,交通,提前1-2天,B站、大众点评,没有现成行程模板、住宿选择困难、美食探店容易踩雷、攻略信息太分散，多APP切换,缺少学生视角的预算参考,听说过但没用过,,交通接驳指南、按预算推荐目的地和行程、现成学生党行程模板,都不愿意付费,小红书/抖音账号+社群,真实接地气(学长学姐经验),希望能看到实时的景区人流量,,87,2026-09-06 15:40:34
S149,大四,艺术类,1501-2000元,3-4次,美食探店、自然风景,独自一人,401-600元,住宿,提前1-2天,微博、抖音,攻略质量参差不齐，广告多、缺少学生视角的预算参考、攻略信息太分散，多APP切换,攻略信息太分散，多APP切换,听说过但没用过,,实时避坑提醒、按预算推荐目的地和行程、现成学生党行程模板、小众目的地种草,AI高级行程定制,微信小程序,图文精美,周末短途游的推荐能不能更精准一些,,320,2026-09-09 19:08:13
S150,大四,文史哲类,2001-2500元,3-4次,自然风景,独自一人,801-1000元,门票/体验项目,提前3-7天,小红书,攻略信息太分散，多APP切换、小众目的地信息太少、交通接驳信息不清晰、攻略质量参差不齐，广告多,攻略质量参差不齐，广告多,偶尔使用,行程模板太少、不能按预算调整、操作太复杂,按预算推荐目的地和行程、旅行记账与AA分摊,都不愿意付费,微信小程序,简洁高效(直接给结论),希望能有旅行vlog的模板,,260,2026-09-05 18:15:10
S151,大一,艺术类,1501-2000元,3-4次,城市人文,家人,201-400元,住宿,说走就走,小红书、大众点评,交通接驳信息不清晰、缺少学生视角的预算参考、住宿选择困难、小众目的地信息太少,没有现成行程模板,完全没听说过,,交通接驳指南、按预算推荐目的地和行程、出行搭子匹配、当地美食红黑榜,AI高级行程定制,小红书/抖音账号+社群,图文精美,,,137,2026-09-03 22:57:39
S152,大二,理工类,1000-1500元,7次及以上,周边乡村/古镇、网红打卡点,室友/同学(2-3人),200元以下,住宿,提前1-2天,微博、抖音,交通接驳信息不清晰、攻略信息太分散，多APP切换、住宿选择困难,小众目的地信息太少,偶尔使用,操作太复杂、行程模板太少、不能按预算调整,现成学生党行程模板、按预算推荐目的地和行程、小众目的地种草,独家小众目的地攻略,小红书/抖音账号+社群,简洁高效(直接给结论),,,167,2026-09-09 20:15:11
S153,大三,经管类,3000元以上,3-4次,城市人文、美食探店,室友/同学(2-3人),201-400元,住宿,提前1-2天,小红书,缺少学生视角的预算参考、交通接驳信息不清晰、攻略信息太分散，多APP切换、攻略质量参差不齐，广告多,没有现成行程模板,完全没听说过,,住宿区域推荐、当地美食红黑榜,AI高级行程定制,微信小程序,简洁高效(直接给结论),希望能有省钱技巧的汇总,,254,2026-09-06 13:36:50
S154,研一,理工类,3000元以上,3-4次,其他、美食探店,朋友小团体(4人以上),601-800元,门票/体验项目,提前2周以上,抖音,攻略信息太分散，多APP切换、没有现成行程模板,美食探店容易踩雷,偶尔使用,推荐太商业化、行程模板太少,当地美食红黑榜、住宿区域推荐、小众目的地种草、现成学生党行程模板,独家小众目的地攻略,微信小程序,简洁高效(直接给结论),希望能看到目的地的天气和穿搭建议,,119,2026-09-05 22:42:08
S155,大一,经管类,1000元以下,5-6次,美食探店、其他,室友/同学(2-3人),200元以下,门票/体验项目,提前1-2周,大众点评、抖音、小红书,没有现成行程模板、缺少学生视角的预算参考、攻略质量参差不齐，广告多、交通接驳信息不清晰,没有现成行程模板,听说过但没用过,,当地美食红黑榜、现成学生党行程模板、实时避坑提醒,都不愿意付费,微信小程序,真实接地气(学长学姐经验),,,108,2026-09-10 16:44:05
S156,大一,医学类,3000元以上,7次及以上,主题乐园、城市人文,男/女朋友,201-400元,住宿,提前1-2周,小红书、OTA平台(携程/马蜂窝)、朋友推荐,交通接驳信息不清晰、美食探店容易踩雷、没有现成行程模板、攻略信息太分散，多APP切换,缺少学生视角的预算参考,完全没听说过,,小众目的地种草、旅行记账与AA分摊、出行搭子匹配、现成学生党行程模板,无广告纯净体验,都可以,图文精美,行李寄存的点能不能标注出来,愿意-wx_rgb93wkc,209,2026-09-02 22:50:17
S157,大二,艺术类,1000-1500元,1-2次,城市人文、美食探店,室友/同学(2-3人),201-400元,门票/体验项目,提前1-2天,小红书、大众点评,缺少学生视角的预算参考、攻略信息太分散，多APP切换,攻略质量参差不齐，广告多,完全没听说过,,出行搭子匹配、住宿区域推荐、小众目的地种草,都不愿意付费,小红书/抖音账号+社群,图文精美,青旅的真实评价太少了,,267,2026-09-06 09:41:16
S158,大四,经管类,1000-1500元,3-4次,主题乐园、高校校园参观,家人,201-400元,餐饮,提前3-7天,小红书、B站,缺少学生视角的预算参考、小众目的地信息太少,缺少学生视角的预算参考,偶尔使用,交通时间不准、操作太复杂、推荐太商业化,实时避坑提醒、小众目的地种草、行程共享与协同编辑,AI高级行程定制,微信小程序,真实接地气(学长学姐经验),能不能有毕业旅行的专题,,252,2026-09-04 20:43:37
S159,大四,文史哲类,2001-2500元,7次及以上,主题乐园、美食探店,男/女朋友,200元以下,交通,提前1-2天,抖音、朋友推荐,攻略质量参差不齐，广告多、攻略信息太分散，多APP切换、美食探店容易踩雷,没有现成行程模板,听说过但没用过,,住宿区域推荐、按预算推荐目的地和行程,都不愿意付费,微信小程序,图文精美,能不能有旅行照片的模板推荐,,258,2026-09-03 13:18:29
S160,大三,经管类,1501-2000元,7次及以上,美食探店,男/女朋友,401-600元,门票/体验项目,提前1-2天,抖音,其他、攻略质量参差不齐，广告多、住宿选择困难,攻略信息太分散，多APP切换,完全没听说过,,当地美食红黑榜、按预算推荐目的地和行程、交通接驳指南,独家小众目的地攻略,小红书/抖音账号+社群,真实接地气(学长学姐经验),周末短途游的推荐能不能更精准一些,,263,2026-09-05 10:02:04
S161,大一,医学类,2001-2500元,0次,,,,,,,攻略信息太分散，多APP切换、交通接驳信息不清晰、美食探店容易踩雷、攻略质量参差不齐，广告多,交通接驳信息不清晰,完全没听说过,,交通接驳指南、实时避坑提醒,都不愿意付费,微信小程序,有趣好玩有梗,,,80,2026-09-07 20:52:49
S162,大三,文史哲类,3000元以上,3-4次,自然风景、城市人文、其他,朋友小团体(4人以上),601-800元,门票/体验项目,提前1-2天,朋友推荐、抖音,攻略质量参差不齐，广告多、攻略信息太分散，多APP切换、缺少学生视角的预算参考,攻略信息太分散，多APP切换,完全没听说过,,当地美食红黑榜、小众目的地种草,无广告纯净体验,小红书/抖音账号+社群,图文精美,高铁票抢票攻略也想要,愿意-wx_a9in2xr8,287,2026-09-08 09:02:21
S163,大一,教育类,1000元以下,1-2次,美食探店、主题乐园,男/女朋友,200元以下,餐饮,提前2周以上,朋友推荐,交通接驳信息不清晰、没有现成行程模板、美食探店容易踩雷、攻略信息太分散，多APP切换,攻略信息太分散，多APP切换,偶尔使用,推荐太商业化,小众目的地种草、按预算推荐目的地和行程,都不愿意付费,网页版,真实接地气(学长学姐经验),希望能有夜生活安全的提示,,237,2026-09-04 10:51:12
S164,大二,教育类,3000元以上,5-6次,城市人文、美食探店,朋友小团体(4人以上),601-800元,购物/伴手礼,提前1-2天,大众点评,攻略信息太分散，多APP切换、攻略质量参差不齐，广告多、小众目的地信息太少,缺少学生视角的预算参考,经常使用,推荐太商业化,按预算推荐目的地和行程、出行搭子匹配,都不愿意付费,微信小程序,真实接地气(学长学姐经验),希望能有夜生活安全的提示,愿意-wx_a7zvky2r,112,2026-09-04 11:40:17
S165,大三,理工类,3000元以上,3-4次,美食探店,男/女朋友,801-1000元,交通,提前1-2周,抖音、小红书,攻略质量参差不齐，广告多、一人出行难拼车/找搭子,没有现成行程模板,完全没听说过,,小众目的地种草、当地美食红黑榜、现成学生党行程模板,无广告纯净体验,微信小程序,真实接地气(学长学姐经验),,,120,2026-09-01 09:41:23
S166,大二,文史哲类,1501-2000元,5-6次,城市人文、周边乡村/古镇,家人,201-400元,门票/体验项目,提前3-7天,小红书,小众目的地信息太少、交通接驳信息不清晰、缺少学生视角的预算参考,攻略信息太分散，多APP切换,听说过但没用过,,现成学生党行程模板、按预算推荐目的地和行程,都不愿意付费,微信小程序,有趣好玩有梗,,,204,2026-09-01 15:09:13
S167,研一,文史哲类,1501-2000元,1-2次,城市人文、自然风景,室友/同学(2-3人),200元以下,餐饮,提前3-7天,微博,缺少学生视角的预算参考、小众目的地信息太少、攻略质量参差不齐，广告多、攻略信息太分散，多APP切换,小众目的地信息太少,完全没听说过,,交通接驳指南、现成学生党行程模板,都不愿意付费,独立APP,有趣好玩有梗,当地特色节日活动的信息想要,,294,2026-09-08 13:00:46
S168,大二,旅游/酒店管理类,1000-1500元,3-4次,网红打卡点,朋友小团体(4人以上),200元以下,餐饮,说走就走,小红书,小众目的地信息太少、没有现成行程模板、缺少学生视角的预算参考、住宿选择困难,没有现成行程模板,偶尔使用,行程模板太少、不能按预算调整,当地美食红黑榜、小众目的地种草,独家小众目的地攻略,微信小程序,真实接地气(学长学姐经验),希望能有大学生优惠门票的汇总信息,愿意-wx_yfquv9qe,260,2026-09-07 11:50:55
S169,大二,文史哲类,2001-2500元,5-6次,自然风景,朋友小团体(4人以上),601-800元,交通,提前1-2周,知乎、大众点评、朋友推荐,交通接驳信息不清晰、缺少学生视角的预算参考,美食探店容易踩雷,偶尔使用,行程模板太少、操作太复杂,当地美食红黑榜、小众目的地种草、按预算推荐目的地和行程、交通接驳指南,都不愿意付费,微信小程序,专业严谨数据详实,,,246,2026-09-08 20:48:37
S170,研一,医学类,2001-2500元,5-6次,自然风景,男/女朋友,401-600元,交通,提前3-7天,大众点评、微博,小众目的地信息太少、交通接驳信息不清晰、没有现成行程模板、攻略质量参差不齐，广告多,小众目的地信息太少,完全没听说过,,现成学生党行程模板、实时避坑提醒,无广告纯净体验,微信小程序,真实接地气(学长学姐经验),,愿意-wx_jzr5swk8,218,2026-09-03 16:22:26
S171,大三,艺术类,1000-1500元,1-2次,网红打卡点,朋友小团体(4人以上),201-400元,餐饮,提前3-7天,抖音、OTA平台(携程/马蜂窝),没有现成行程模板、美食探店容易踩雷、缺少学生视角的预算参考、小众目的地信息太少,攻略质量参差不齐，广告多,听说过但没用过,,住宿区域推荐、按预算推荐目的地和行程、现成学生党行程模板、小众目的地种草,独家小众目的地攻略,都可以,图文精美,,,124,2026-09-03 11:15:07
S172,大一,理工类,1000-1500元,1-2次,城市人文,朋友小团体(4人以上),401-600元,购物/伴手礼,提前1-2天,大众点评、小红书,攻略信息太分散，多APP切换、美食探店容易踩雷、小众目的地信息太少,美食探店容易踩雷,完全没听说过,,按预算推荐目的地和行程、住宿区域推荐、旅行记账与AA分摊,AI高级行程定制,小红书/抖音账号+社群,简洁高效(直接给结论),,,273,2026-09-10 19:09:51
S173,大三,旅游/酒店管理类,1501-2000元,5-6次,主题乐园、城市人文、周边乡村/古镇,室友/同学(2-3人),200元以下,餐饮,提前1-2天,小红书,交通接驳信息不清晰、攻略质量参差不齐，广告多、美食探店容易踩雷,攻略质量参差不齐，广告多,经常使用,推荐太商业化、交通时间不准、其他,现成学生党行程模板、交通接驳指南、实时避坑提醒,AI高级行程定制,微信小程序,有趣好玩有梗,希望能看到目的地的天气和穿搭建议,,83,2026-09-05 14:22:19
S174,研二及以上,旅游/酒店管理类,1000-1500元,5-6次,周边乡村/古镇、自然风景,室友/同学(2-3人),201-400元,餐饮,提前2周以上,B站、小红书、大众点评,攻略质量参差不齐，广告多、缺少学生视角的预算参考,一人出行难拼车/找搭子,偶尔使用,操作太复杂、其他,按预算推荐目的地和行程、小众目的地种草、实时避坑提醒,都不愿意付费,小红书/抖音账号+社群,真实接地气(学长学姐经验),能不能有旅行照片的模板推荐,,154,2026-09-09 16:02:52
S175,大四,旅游/酒店管理类,1501-2000元,5-6次,自然风景、周边乡村/古镇,室友/同学(2-3人),401-600元,餐饮,提前1-2周,OTA平台(携程/马蜂窝),缺少学生视角的预算参考、没有现成行程模板、交通接驳信息不清晰、攻略质量参差不齐，广告多,攻略信息太分散，多APP切换,偶尔使用,不能按预算调整,交通接驳指南、行程共享与协同编辑,都不愿意付费,小红书/抖音账号+社群,真实接地气(学长学姐经验),拍照机位能不能标注出来,,84,2026-09-05 11:37:03
S176,大一,文史哲类,2001-2500元,1-2次,自然风景,室友/同学(2-3人),1000元以上,住宿,提前1-2天,OTA平台(携程/马蜂窝)、小红书,小众目的地信息太少、交通接驳信息不清晰、攻略质量参差不齐，广告多,攻略质量参差不齐，广告多,偶尔使用,不能协同编辑、行程模板太少、交通时间不准,按预算推荐目的地和行程、交通接驳指南、出行搭子匹配,都不愿意付费,微信小程序,简洁高效(直接给结论),,,121,2026-09-02 12:09:32
S177,大二,经管类,2501-3000元,3-4次,网红打卡点、美食探店,男/女朋友,601-800元,购物/伴手礼,说走就走,B站,缺少学生视角的预算参考、交通接驳信息不清晰、攻略信息太分散，多APP切换、没有现成行程模板、一人出行难拼车/找搭子,缺少学生视角的预算参考,完全没听说过,,住宿区域推荐、按预算推荐目的地和行程、出行搭子匹配,独家小众目的地攻略,网页版,真实接地气(学长学姐经验),希望能和同校的人组队出行,,133,2026-09-03 10:27:44
S178,大四,经管类,1000元以下,3-4次,城市人文,男/女朋友,401-600元,交通,提前1-2天,小红书、抖音,小众目的地信息太少,美食探店容易踩雷,偶尔使用,操作太复杂,按预算推荐目的地和行程、住宿区域推荐、现成学生党行程模板,都不愿意付费,微信小程序,有趣好玩有梗,,,97,2026-09-02 22:37:48
S179,大一,经管类,1000-1500元,1-2次,城市人文、周边乡村/古镇、高校校园参观,家人,601-800元,住宿,提前3-7天,抖音,攻略质量参差不齐，广告多、缺少学生视角的预算参考,缺少学生视角的预算参考,偶尔使用,行程模板太少,按预算推荐目的地和行程、住宿区域推荐,都不愿意付费,独立APP,真实接地气(学长学姐经验),希望能有旅行vlog的模板,,178,2026-09-05 16:38:47
S180,大二,其他,1501-2000元,3-4次,其他、自然风景,男/女朋友,801-1000元,门票/体验项目,提前2周以上,小红书、其他,交通接驳信息不清晰、缺少学生视角的预算参考、没有现成行程模板、攻略信息太分散，多APP切换,缺少学生视角的预算参考,完全没听说过,,住宿区域推荐、实时避坑提醒,独家小众目的地攻略,微信小程序,真实接地气(学长学姐经验),,,183,2026-09-02 12:53:27
S181,大四,理工类,2001-2500元,3-4次,周边乡村/古镇,家人,401-600元,餐饮,提前2周以上,大众点评、小红书,攻略信息太分散，多APP切换、攻略质量参差不齐，广告多、没有现成行程模板、交通接驳信息不清晰,攻略信息太分散，多APP切换,经常使用,不能按预算调整,旅行记账与AA分摊、小众目的地种草,都不愿意付费,微信小程序,简洁高效(直接给结论),周末短途游的推荐能不能更精准一些,,249,2026-09-09 21:31:50
S182,大三,理工类,1501-2000元,3-4次,自然风景、网红打卡点、主题乐园,家人,200元以下,住宿,提前2周以上,抖音、微博,没有现成行程模板、攻略信息太分散，多APP切换、住宿选择困难、攻略质量参差不齐，广告多,交通接驳信息不清晰,听说过但没用过,,现成学生党行程模板、小众目的地种草、住宿区域推荐,都不愿意付费,独立APP,简洁高效(直接给结论),,,298,2026-09-03 17:03:25
S183,大二,艺术类,1501-2000元,3-4次,自然风景、城市人文,独自一人,801-1000元,住宿,提前1-2周,朋友推荐,缺少学生视角的预算参考、没有现成行程模板、其他,攻略信息太分散，多APP切换,偶尔使用,交通时间不准,实时避坑提醒、按预算推荐目的地和行程,AI高级行程定制,微信小程序,真实接地气(学长学姐经验),希望能有旅行vlog的模板,愿意-wx_xpspaqal,226,2026-09-07 14:36:06
S184,大四,经管类,2001-2500元,1-2次,周边乡村/古镇、美食探店、城市人文,室友/同学(2-3人),1000元以上,交通,提前1-2周,微博,攻略质量参差不齐，广告多、攻略信息太分散，多APP切换、其他,缺少学生视角的预算参考,偶尔使用,其他、交通时间不准、不能按预算调整,现成学生党行程模板、交通接驳指南、小众目的地种草,AI高级行程定制,微信小程序,有趣好玩有梗,拍照机位能不能标注出来,,190,2026-09-09 14:12:26
S185,大二,艺术类,1501-2000元,5-6次,网红打卡点,朋友小团体(4人以上),601-800元,交通,提前3-7天,知乎、朋友推荐、抖音,美食探店容易踩雷、小众目的地信息太少、攻略信息太分散，多APP切换、攻略质量参差不齐，广告多、没有现成行程模板,攻略质量参差不齐，广告多,听说过但没用过,,行程共享与协同编辑、小众目的地种草、实时避坑提醒,都不愿意付费,网页版,真实接地气(学长学姐经验),,,145,2026-09-10 12:25:15
S186,大一,经管类,1000-1500元,5-6次,主题乐园、其他,室友/同学(2-3人),601-800元,交通,提前1-2天,小红书,交通接驳信息不清晰、攻略质量参差不齐，广告多、住宿选择困难、一人出行难拼车/找搭子,缺少学生视角的预算参考,经常使用,行程模板太少,行程共享与协同编辑、实时避坑提醒、现成学生党行程模板,都不愿意付费,微信小程序,专业严谨数据详实,高铁票抢票攻略也想要,,226,2026-09-09 10:33:42
S187,大四,旅游/酒店管理类,3000元以上,3-4次,自然风景,室友/同学(2-3人),801-1000元,住宿,提前1-2周,朋友推荐,攻略质量参差不齐，广告多、攻略信息太分散，多APP切换、缺少学生视角的预算参考,住宿选择困难,经常使用,行程模板太少、推荐太商业化,小众目的地种草、现成学生党行程模板、住宿区域推荐、按预算推荐目的地和行程,AI高级行程定制,微信小程序,真实接地气(学长学姐经验),,,249,2026-09-01 20:58:50
S188,大三,理工类,1501-2000元,3-4次,自然风景、周边乡村/古镇、城市人文,男/女朋友,801-1000元,住宿,提前2周以上,B站,攻略信息太分散，多APP切换、住宿选择困难、攻略质量参差不齐，广告多,住宿选择困难,完全没听说过,,实时避坑提醒、住宿区域推荐、小众目的地种草、按预算推荐目的地和行程,都不愿意付费,网页版,专业严谨数据详实,,,317,2026-09-06 20:27:56
S189,研一,经管类,1000-1500元,1-2次,自然风景,朋友小团体(4人以上),601-800元,餐饮,提前3-7天,朋友推荐,交通接驳信息不清晰、小众目的地信息太少、攻略质量参差不齐，广告多,缺少学生视角的预算参考,听说过但没用过,,交通接驳指南、按预算推荐目的地和行程、现成学生党行程模板、当地美食红黑榜,都不愿意付费,小红书/抖音账号+社群,真实接地气(学长学姐经验),音乐节+旅行的组合攻略想要,,161,2026-09-08 16:55:47
S190,大一,经管类,1501-2000元,1-2次,城市人文、自然风景,室友/同学(2-3人),801-1000元,购物/伴手礼,提前1-2周,小红书,美食探店容易踩雷、交通接驳信息不清晰,没有现成行程模板,完全没听说过,,现成学生党行程模板、当地美食红黑榜、按预算推荐目的地和行程、小众目的地种草,AI高级行程定制,微信小程序,简洁高效(直接给结论),一个人旅行的安全问题能不能有提示,愿意-wx_s173rih8,288,2026-09-05 13:47:31
S191,大二,文史哲类,1000-1500元,1-2次,周边乡村/古镇、城市人文,室友/同学(2-3人),401-600元,交通,提前2周以上,大众点评,缺少学生视角的预算参考、交通接驳信息不清晰、没有现成行程模板,攻略信息太分散，多APP切换,偶尔使用,其他、行程模板太少,当地美食红黑榜、住宿区域推荐,AI高级行程定制,微信小程序,真实接地气(学长学姐经验),,,200,2026-09-06 18:42:51
S192,大三,医学类,1000元以下,1-2次,自然风景、其他、美食探店,室友/同学(2-3人),601-800元,交通,提前1-2天,大众点评,美食探店容易踩雷、攻略信息太分散，多APP切换、缺少学生视角的预算参考、没有现成行程模板,攻略质量参差不齐，广告多,偶尔使用,其他,行程共享与协同编辑、出行搭子匹配、住宿区域推荐、实时避坑提醒、现成学生党行程模板,都不愿意付费,小红书/抖音账号+社群,图文精美,行李寄存的点能不能标注出来,,191,2026-09-03 14:47:31
